_,station,arr,dep,dwell,runtime,train
1,广州,-,5:36,-,0:00,D 4545
2,佛山西,5:58,6:01,3,0:22,D 4545
3,桂林西,8:01,8:05,4,2:25,D 4545
4,榕江,9:13,9:20,7,3:37,D 4545
5,都匀东,9:52,9:54,2,4:16,D 4545
6,贵定县,10:11,10:13,2,4:35,D 4545
7,贵阳东,10:40,10:44,4,5:04,D 4545
8,毕节,11:32,11:36,4,5:56,D 4545
9,宜宾西,12:43,12:48,5,7:07,D 4545
10,乐山,13:30,13:34,4,7:54,D 4545
11,成都东,14:22,-,-,8:46,D 4545
1,广州,-,6:07,-,0:00,D 4269
2,佛山西,6:27,6:29,2,0:20,D 4269
3,桂林西,8:31,8:35,4,2:24,D 4269
4,三江南,9:07,9:09,2,3:00,D 4269
5,都匀东,10:16,10:20,4,4:09,D 4269
6,贵阳东,11:00,11:04,4,4:53,D 4269
7,清镇西,11:24,11:34,10,5:17,D 4269
8,黔西,11:49,11:51,2,5:42,D 4269
9,毕节,12:15,12:17,2,6:08,D 4269
10,威信,12:43,12:45,2,6:36,D 4269
11,兴文,13:07,13:09,2,7:00,D 4269
12,长宁,13:26,13:34,8,7:19,D 4269
13,宜宾西,13:48,13:56,8,7:41,D 4269
14,乐山,14:38,14:44,6,8:31,D 4269
15,眉山东,15:02,15:15,13,8:55,D 4269
16,双流机场,15:36,15:43,7,9:29,D 4269
17,成都南,15:53,-,-,9:46,D 4269
1,佛山西,-,6:41,-,0:00,C 8079
2,广州,7:04,7:08,4,0:23,C 8079
3,广州东,7:18,7:21,3,0:37,C 8079
4,东莞,7:47,7:49,2,1:06,C 8079
5,深圳,8:27,-,-,1:46,C 8079
1,佛山西,-,7:05,-,0:00,D 4334
2,贺州,8:18,8:22,4,1:13,D 4334
3,钟山西,8:35,8:43,8,1:30,D 4334
4,阳朔,9:13,9:15,2,2:08,D 4334
5,桂林西,9:39,9:43,4,2:34,D 4334
6,三江南,10:16,10:18,2,3:11,D 4334
7,从江,10:39,11:04,25,3:34,D 4334
8,都匀东,11:52,11:54,2,4:47,D 4334
9,贵定县,12:12,12:17,5,5:07,D 4334
10,龙洞堡,12:37,12:43,6,5:32,D 4334
11,贵阳东,12:54,12:58,4,5:49,D 4334
12,遵义,13:47,13:49,2,6:42,D 4334
13,桐梓东,14:10,14:12,2,7:05,D 4334
14,赶水东,14:41,14:43,2,7:36,D 4334
15,綦江东,14:57,14:59,2,7:52,D 4334
16,珞璜南,15:16,15:18,2,8:11,D 4334
17,重庆西,15:31,-,-,8:26,D 4334
1,广州,-,9:47,-,0:00,D 1853
2,佛山西,10:07,10:11,4,0:20,D 1853
3,桂林西,12:14,12:18,4,2:27,D 1853
4,榕江,13:23,13:25,2,3:36,D 1853
5,都匀东,13:56,13:58,2,4:09,D 1853
6,贵阳东,14:38,14:42,4,4:51,D 1853
7,黔西,15:11,15:13,2,5:24,D 1853
8,毕节,15:36,15:39,3,5:49,D 1853
9,镇雄,15:58,16:00,2,6:11,D 1853
10,宜宾西,16:52,16:58,6,7:05,D 1853
11,乐山,17:41,17:44,3,7:54,D 1853
12,眉山东,18:03,18:05,2,8:16,D 1853
13,成都东,18:38,18:42,4,8:51,D 1853
14,青白江东,18:57,18:59,2,9:10,D 1853
15,德阳,19:12,19:14,2,9:25,D 1853
16,绵阳,19:31,-,-,9:44,D 1853
1,深圳,-,9:05,-,0:00,D 3662
2,广州,10:18,10:26,8,1:13,D 3662
3,佛山西,10:56,10:58,2,1:51,D 3662
4,梧州南,12:02,12:06,4,2:57,D 3662
5,贵港,12:57,12:59,2,3:52,D 3662
6,南宁东,13:42,14:02,20,4:37,D 3662
7,北海,15:06,-,-,6:01,D 3662
1,南宁东,-,9:44,-,0:00,D 3679
2,贵港,10:26,10:28,2,0:42,D 3679
3,平南南,10:57,10:59,2,1:13,D 3679
4,藤县,11:18,11:20,2,1:34,D 3679
5,梧州南,11:32,11:36,4,1:48,D 3679
6,郁南,11:48,11:50,2,2:04,D 3679
7,云浮东,12:14,12:16,2,2:30,D 3679
8,三水南,12:45,12:47,2,3:01,D 3679
9,佛山西,12:59,13:01,2,3:15,D 3679
10,广州,13:23,-,-,3:39,D 3679
1,德阳,-,7:42,-,0:00,D 1859
2,广汉北,7:51,7:53,2,0:09,D 1859
3,青白江东,8:01,8:03,2,0:19,D 1859
4,成都东,8:17,8:28,11,0:35,D 1859
5,眉山东,8:59,9:01,2,1:17,D 1859
6,乐山,9:20,9:22,2,1:38,D 1859
7,毕节,11:10,11:13,3,3:28,D 1859
8,贵阳东,12:01,12:06,5,4:19,D 1859
9,龙里北,12:24,12:26,2,4:42,D 1859
10,榕江,13:17,13:20,3,5:35,D 1859
11,三江南,13:57,13:59,2,6:15,D 1859
12,桂林西,14:32,14:36,4,6:50,D 1859
13,阳朔,15:00,15:02,2,7:18,D 1859
14,贺州,15:40,15:42,2,7:58,D 1859
15,广宁,16:24,16:26,2,8:42,D 1859
16,佛山西,16:58,17:01,3,9:16,D 1859
17,广州,17:21,-,-,9:39,D 1859
1,德阳,-,7:42,-,0:00,D 1859
2,广汉北,7:51,7:53,2,0:09,D 1859
3,青白江东,8:01,8:03,2,0:19,D 1859
4,成都东,8:17,8:28,11,0:35,D 1859
5,眉山东,8:59,9:01,2,1:17,D 1859
6,乐山,9:20,9:22,2,1:38,D 1859
7,毕节,11:10,11:13,3,3:28,D 1859
8,贵阳东,12:01,12:06,5,4:19,D 1859
9,龙里北,12:24,12:26,2,4:42,D 1859
10,榕江,13:17,13:20,3,5:35,D 1859
11,三江南,13:57,13:59,2,6:15,D 1859
12,桂林西,14:32,14:36,4,6:50,D 1859
13,阳朔,15:00,15:02,2,7:18,D 1859
14,贺州,15:40,15:42,2,7:58,D 1859
15,广宁,16:24,16:26,2,8:42,D 1859
16,佛山西,16:58,17:01,3,9:16,D 1859
17,广州,17:21,-,-,9:39,D 1859
1,北海,-,15:55,-,0:00,D 3664
2,南宁东,17:00,17:20,20,1:05,D 3664
3,贵港,18:02,18:04,2,2:07,D 3664
4,梧州南,18:56,19:00,4,3:01,D 3664
5,佛山西,20:06,20:11,5,4:11,D 3664
6,广州,20:32,20:37,5,4:37,D 3664
7,东莞,21:15,21:17,2,5:20,D 3664
8,深圳,21:53,-,-,5:58,D 3664
1,成都东,-,14:20,-,0:00,D 4553
2,新津,14:40,14:42,2,0:20,D 4553
3,眉山东,14:57,14:59,2,0:37,D 4553
4,宜宾西,15:57,16:01,4,1:37,D 4553
5,长宁,16:14,16:16,2,1:54,D 4553
6,兴文,16:33,16:35,2,2:13,D 4553
7,威信,16:59,17:01,2,2:39,D 4553
8,镇雄,17:14,17:16,2,2:54,D 4553
9,毕节,17:34,17:38,4,3:14,D 4553
10,黔西,18:01,18:03,2,3:41,D 4553
11,贵阳东,18:31,18:36,5,4:11,D 4553
12,龙里北,18:54,19:11,17,4:34,D 4553
13,都匀东,19:36,19:38,2,5:16,D 4553
14,从江,20:26,20:35,9,6:06,D 4553
15,桂林西,21:23,21:28,5,7:03,D 4553
16,恭城,22:01,22:04,3,7:41,D 4553
17,佛山西,23:41,-,-,9:21,D 4553
1,深圳,-,22:11,-,0:00,C 8080
2,广州东,23:09,23:14,5,0:58,C 8080
3,广州,23:24,23:28,4,1:13,C 8080
4,佛山西,23:48,-,-,1:37,C 8080
1,成都东,-,14:49,-,0:00,D 4547
2,双流西,15:06,15:08,2,0:17,D 4547
3,宜宾西,16:20,16:27,7,1:31,D 4547
4,长宁,16:41,16:46,5,1:52,D 4547
5,毕节,17:46,17:52,6,2:57,D 4547
6,黔西,18:15,18:21,6,3:26,D 4547
7,贵阳东,18:50,18:57,7,4:01,D 4547
8,龙洞堡,19:07,19:09,2,4:18,D 4547
9,都匀东,19:41,19:52,11,4:52,D 4547
10,三都县,20:04,20:06,2,5:15,D 4547
11,桂林西,21:30,21:34,4,6:41,D 4547
12,阳朔,21:58,22:00,2,7:09,D 4547
13,贺州,22:38,22:40,2,7:49,D 4547
14,广州,0:08,-,-,9:19,D 4547
1,广州,-,0:44,-,0:00,K 6632
2,长沙,8:51,9:21,30,8:07,K 6632
3,益阳,10:32,10:40,8,9:48,K 6632
4,常德,11:41,11:46,5,10:57,K 6632
5,桃源,12:15,12:21,6,11:31,K 6632
6,张家界西,13:23,-,-,12:39,K 6632
1,广州,-,0:51,-,0:00,K 4562
2,衡阳,6:55,7:02,7,6:04,K 4562
3,益阳,10:41,10:47,6,9:50,K 4562
4,常德,11:52,11:58,6,11:01,K 4562
5,襄阳,19:40,20:05,25,18:49,K 4562
6,安康,0:19,0:41,22,23:28,K 4562
7,达州,4:16,4:26,10,27:25:00,K 4562
