traincode,station,arr,dep,time,line,state
C 4715,花都,0,1,15,广东城际200km/h,first
C 4715,乐同,1,0,18,广东城际200km/h,middle
C 4715,乐同,0,1,18,广东城际200km/h,middle
C 4715,狮岭,1,0,20,广东城际200km/h,middle
C 4715,狮岭,0,1,20,广东城际200km/h,middle
C 4715,银盏,1,0,23,广东城际200km/h,middle
C 4715,银盏,0,1,23,广东城际200km/h,middle
C 4715,龙塘镇,1,0,26,广东城际200km/h,middle
C 4715,龙塘镇,0,1,26,广东城际200km/h,middle
C 4715,清城,1,0,30,广东城际200km/h,last
C 4716,清城,0,1,55,广东城际200km/h,first
C 4716,龙塘镇,1,0,58,广东城际200km/h,middle
C 4716,龙塘镇,0,1,58,广东城际200km/h,middle
C 4716,银盏,1,0,61,广东城际200km/h,middle
C 4716,银盏,0,1,61,广东城际200km/h,middle
C 4716,狮岭,1,0,64,广东城际200km/h,middle
C 4716,狮岭,0,1,64,广东城际200km/h,middle
C 4716,乐同,1,0,68,广东城际200km/h,middle
C 4716,乐同,0,1,69,广东城际200km/h,middle
C 4716,花都,1,0,71,广东城际200km/h,last
C 4717,花都,0,1,83,广东城际200km/h,first
C 4717,乐同,1,0,86,广东城际200km/h,middle
C 4717,乐同,0,1,86,广东城际200km/h,middle
C 4717,狮岭,1,0,88,广东城际200km/h,middle
C 4717,狮岭,0,1,88,广东城际200km/h,middle
C 4717,银盏,1,0,91,广东城际200km/h,middle
C 4717,银盏,0,1,91,广东城际200km/h,middle
C 4717,龙塘镇,1,0,94,广东城际200km/h,middle
C 4717,龙塘镇,0,1,94,广东城际200km/h,middle
C 4717,清城,1,0,98,广东城际200km/h,last
C 4802,狮岭,1,0,3,广东城际200km/h,first
C 4802,狮岭,0,1,4,广东城际200km/h,middle
C 4802,银盏,1,0,12,广东城际200km/h,middle
C 4802,银盏,0,1,13,广东城际200km/h,middle
C 4802,龙塘镇,1,0,18,广东城际200km/h,middle
C 4802,龙塘镇,0,1,19,广东城际200km/h,middle
C 4802,清城,1,0,24,广东城际200km/h,last
C 4806,花山镇,1,0,2,广东城际200km/h,first
C 4806,花山镇,0,1,3,广东城际200km/h,middle
C 4806,花城街,1,0,7,广东城际200km/h,middle
C 4806,花城街,0,1,8,广东城际200km/h,middle
C 4806,花都,1,0,16,广东城际200km/h,middle
C 4806,花都,0,1,25,广东城际200km/h,middle
C 4806,乐同,1,0,31,广东城际200km/h,middle
C 4806,乐同,0,1,32,广东城际200km/h,middle
C 4806,狮岭,1,0,37,广东城际200km/h,middle
C 4806,狮岭,0,1,38,广东城际200km/h,middle
C 4806,银盏,1,0,46,广东城际200km/h,middle
C 4806,银盏,0,1,47,广东城际200km/h,middle
C 4806,龙塘镇,1,0,52,广东城际200km/h,middle
C 4806,龙塘镇,0,1,53,广东城际200km/h,middle
C 4806,清城,1,0,58,广东城际200km/h,last
C 4810,白云机场北,0,1,30,广东城际200km/h,first
C 4810,花山镇,1,0,36,广东城际200km/h,middle
C 4810,花山镇,0,1,37,广东城际200km/h,middle
C 4810,花城街,1,0,41,广东城际200km/h,middle
C 4810,花城街,0,1,42,广东城际200km/h,middle
C 4810,花都,1,0,50,广东城际200km/h,middle
C 4810,花都,0,1,59,广东城际200km/h,middle
C 4810,乐同,1,0,65,广东城际200km/h,middle
C 4810,乐同,0,1,66,广东城际200km/h,middle
C 4810,狮岭,1,0,71,广东城际200km/h,middle
C 4810,狮岭,0,1,72,广东城际200km/h,middle
C 4810,银盏,1,0,82,广东城际200km/h,middle
C 4810,银盏,0,1,83,广东城际200km/h,middle
C 4810,龙塘镇,1,0,86,广东城际200km/h,middle
C 4810,龙塘镇,0,1,87,广东城际200km/h,middle
C 4810,清城,1,0,92,广东城际200km/h,last
C 4812,花都,1,0,0,广东城际200km/h,first
C 4812,花都,0,1,9,广东城际200km/h,middle
C 4812,花城街,1,0,16,广东城际200km/h,middle
C 4812,花城街,0,1,17,广东城际200km/h,middle
C 4812,花山镇,1,0,21,广东城际200km/h,middle
C 4812,花山镇,0,1,22,广东城际200km/h,middle
C 4812,白云机场北,1,0,29,广东城际200km/h,last
C 4814,白云机场北,0,1,64,广东城际200km/h,first
C 4814,花山镇,1,0,70,广东城际200km/h,middle
C 4814,花山镇,0,1,71,广东城际200km/h,middle
C 4814,花城街,1,0,75,广东城际200km/h,middle
C 4814,花城街,0,1,76,广东城际200km/h,middle
C 4814,花都,1,0,84,广东城际200km/h,middle
C 4814,花都,0,1,93,广东城际200km/h,middle
C 4814,乐同,1,0,99,广东城际200km/h,middle
C 4814,乐同,0,1,100,广东城际200km/h,middle
C 4814,狮岭,1,0,105,广东城际200km/h,middle
C 4814,狮岭,0,1,106,广东城际200km/h,middle
C 4814,银盏,1,0,114,广东城际200km/h,middle
C 4814,银盏,0,1,115,广东城际200km/h,middle
C 4814,龙塘镇,1,0,120,广东城际200km/h,last
C 4816,清城,0,1,0,广东城际200km/h,first
C 4816,龙塘镇,1,0,5,广东城际200km/h,middle
C 4816,龙塘镇,0,1,6,广东城际200km/h,middle
C 4816,银盏,1,0,15,广东城际200km/h,middle
C 4816,银盏,0,1,16,广东城际200km/h,middle
C 4816,狮岭,1,0,23,广东城际200km/h,middle
C 4816,狮岭,0,1,24,广东城际200km/h,middle
C 4816,乐同,1,0,26,广东城际200km/h,middle
C 4816,乐同,0,1,27,广东城际200km/h,middle
C 4816,花都,1,0,33,广东城际200km/h,middle
C 4816,花都,0,1,42,广东城际200km/h,middle
C 4816,花城街,1,0,50,广东城际200km/h,middle
C 4816,花城街,0,1,51,广东城际200km/h,middle
C 4816,花山镇,1,0,55,广东城际200km/h,middle
C 4816,花山镇,0,1,56,广东城际200km/h,middle
C 4816,白云机场北,1,0,63,广东城际200km/h,last
C 4818,白云机场北,0,1,98,广东城际200km/h,first
C 4818,花山镇,1,0,104,广东城际200km/h,middle
C 4818,花山镇,0,1,105,广东城际200km/h,middle
C 4818,花城街,1,0,109,广东城际200km/h,middle
C 4818,花城街,0,1,110,广东城际200km/h,middle
C 4818,花都,1,0,118,广东城际200km/h,last
C 4820,清城,0,1,34,广东城际200km/h,first
C 4820,龙塘镇,1,0,39,广东城际200km/h,middle
C 4820,龙塘镇,0,1,40,广东城际200km/h,middle
C 4820,银盏,1,0,49,广东城际200km/h,middle
C 4820,银盏,0,1,50,广东城际200km/h,middle
C 4820,狮岭,1,0,54,广东城际200km/h,middle
C 4820,狮岭,0,1,55,广东城际200km/h,middle
C 4820,乐同,1,0,60,广东城际200km/h,middle
C 4820,乐同,0,1,61,广东城际200km/h,middle
C 4820,花都,1,0,67,广东城际200km/h,middle
C 4820,花都,0,1,76,广东城际200km/h,middle
C 4820,花城街,1,0,84,广东城际200km/h,middle
C 4820,花城街,0,1,85,广东城际200km/h,middle
C 4820,花山镇,1,0,89,广东城际200km/h,middle
C 4820,花山镇,0,1,90,广东城际200km/h,middle
C 4820,白云机场北,1,0,97,广东城际200km/h,last
C 4824,清城,0,1,67,广东城际200km/h,first
C 4824,龙塘镇,1,0,72,广东城际200km/h,middle
C 4824,龙塘镇,0,1,73,广东城际200km/h,middle
C 4824,银盏,1,0,79,广东城际200km/h,middle
C 4824,银盏,0,1,80,广东城际200km/h,middle
C 4824,狮岭,1,0,91,广东城际200km/h,middle
C 4824,狮岭,0,1,92,广东城际200km/h,middle
C 4824,乐同,1,0,94,广东城际200km/h,middle
C 4824,乐同,0,1,95,广东城际200km/h,middle
C 4824,花都,1,0,100,广东城际200km/h,middle
C 4824,花都,0,1,109,广东城际200km/h,middle
C 4824,花城街,1,0,117,广东城际200km/h,middle
C 4824,花城街,0,1,118,广东城际200km/h,last
C 4828,清城,0,1,102,广东城际200km/h,first
C 4828,龙塘镇,1,0,107,广东城际200km/h,middle
C 4828,龙塘镇,0,1,108,广东城际200km/h,middle
C 4828,银盏,1,0,117,广东城际200km/h,middle
C 4828,银盏,0,1,118,广东城际200km/h,last
C 6712,肇庆,0,1,112,广佛肇城际线200km/h,first
C 6712,端州,1,0,118,广佛肇城际线200km/h,middle
C 6712,端州,0,1,118,广佛肇城际线200km/h,last
C 6716,洪梅,1,0,1,穗深城际线B140km/h,first
C 6716,洪梅,0,1,3,穗深城际线B140km/h,middle
C 6716,东莞西,1,0,7,穗深城际线B140km/h,middle
C 6716,东莞西,0,1,8,穗深城际线A140km/h,middle
C 6716,望牛墩,1,0,14,穗深城际线A140km/h,middle
C 6716,望牛墩,0,1,15,穗深城际线A140km/h,middle
C 6716,中堂,1,0,18,穗深城际线A140km/h,middle
C 6716,中堂,0,1,20,穗深城际线A140km/h,middle
C 6716,新塘南,1,0,25,穗深城际线A140km/h,last
C 6721,新塘南,0,1,55,穗深城际线A140km/h,first
C 6721,中堂,1,0,60,穗深城际线A140km/h,middle
C 6721,中堂,0,1,61,穗深城际线A140km/h,middle
C 6721,望牛墩,1,0,66,穗深城际线A140km/h,middle
C 6721,望牛墩,0,1,67,穗深城际线A140km/h,middle
C 6721,东莞西,1,0,71,穗深城际线A140km/h,middle
C 6721,东莞西,0,1,73,穗深城际线B140km/h,middle
C 6721,洪梅,1,0,76,穗深城际线B140km/h,middle
C 6721,洪梅,0,1,78,穗深城际线B140km/h,middle
C 6721,东莞港,1,0,88,穗深城际线B140km/h,middle
C 6721,东莞港,0,1,90,穗深城际线B140km/h,middle
C 6721,厚街,1,0,92,穗深城际线B140km/h,middle
C 6721,厚街,0,1,94,穗深城际线B140km/h,middle
C 6721,虎门北,1,0,97,穗深城际线B140km/h,middle
