_,station,arr,dep,dwell,runtime,train,line
1,清城,-,6:51,5,0:00,C 4702,
2,龙塘镇,6:54,6:54,0,_,C 4702,广东城际200km/h
3,银盏,6:57,6:57,0,_,C 4702,广东城际200km/h
4,狮岭,7:00,7:00,0,_,C 4702,广东城际200km/h
5,乐同,7:02,7:02,0,_,C 4702,广东城际200km/h
6,花都,7:07,-,5,0:16,C 4702,广东城际200km/h
1,花都,-,7:22,5,0:00,C 4703,
2,乐同,7:25,7:25,0,_,C 4703,广东城际200km/h
3,狮岭,7:27,7:27,0,_,C 4703,广东城际200km/h
4,银盏,7:30,7:30,0,_,C 4703,广东城际200km/h
5,龙塘镇,7:33,7:33,0,_,C 4703,广东城际200km/h
6,清城,7:37,-,5,0:15,C 4703,广东城际200km/h
1,清城,-,8:03,5,0:00,C 4704,
2,龙塘镇,8:06,8:06,0,_,C 4704,广东城际200km/h
3,银盏,8:09,8:09,0,_,C 4704,广东城际200km/h
4,狮岭,8:12,8:12,0,_,C 4704,广东城际200km/h
5,乐同,8:14,8:14,0,_,C 4704,广东城际200km/h
6,花都,8:19,-,5,0:16,C 4704,广东城际200km/h
1,花都,-,8:29,5,0:00,C 4705,
2,乐同,8:32,8:32,0,_,C 4705,广东城际200km/h
3,狮岭,8:34,8:34,0,_,C 4705,广东城际200km/h
4,银盏,8:37,8:37,0,_,C 4705,广东城际200km/h
5,龙塘镇,8:40,8:40,0,_,C 4705,广东城际200km/h
6,清城,8:44,-,5,0:15,C 4705,广东城际200km/h
1,清城,-,9:15,5,0:00,C 4706,
2,龙塘镇,9:18,9:18,0,_,C 4706,广东城际200km/h
3,银盏,9:21,9:21,0,_,C 4706,广东城际200km/h
4,狮岭,9:24,9:24,0,_,C 4706,广东城际200km/h
5,乐同,9:26,9:26,0,_,C 4706,广东城际200km/h
6,花都,9:31,-,5,0:16,C 4706,广东城际200km/h
1,花都,-,9:43,5,0:00,C 4707,
2,乐同,9:46,9:46,0,_,C 4707,广东城际200km/h
3,狮岭,9:48,9:48,0,_,C 4707,广东城际200km/h
4,银盏,9:51,9:51,0,_,C 4707,广东城际200km/h
5,龙塘镇,9:54,9:54,0,_,C 4707,广东城际200km/h
6,清城,9:58,-,5,0:15,C 4707,广东城际200km/h
1,清城,-,10:23,5,0:00,C 4708,
2,龙塘镇,10:26,10:26,0,_,C 4708,广东城际200km/h
3,银盏,10:29,10:29,0,_,C 4708,广东城际200km/h
4,狮岭,10:32,10:32,0,_,C 4708,广东城际200km/h
5,乐同,10:34,10:34,0,_,C 4708,广东城际200km/h
6,花都,10:39,-,5,0:16,C 4708,广东城际200km/h
1,花都,-,10:51,5,0:00,C 4709,
2,乐同,10:54,10:54,0,_,C 4709,广东城际200km/h
3,狮岭,10:56,10:56,0,_,C 4709,广东城际200km/h
4,银盏,10:59,10:59,0,_,C 4709,广东城际200km/h
5,龙塘镇,11:02,11:02,0,_,C 4709,广东城际200km/h
6,清城,11:06,-,5,0:15,C 4709,广东城际200km/h
1,清城,-,11:32,5,0:00,C 4710,
2,龙塘镇,11:35,11:35,0,_,C 4710,广东城际200km/h
3,银盏,11:38,11:38,0,_,C 4710,广东城际200km/h
4,狮岭,11:41,11:41,0,_,C 4710,广东城际200km/h
5,乐同,11:43,11:43,0,_,C 4710,广东城际200km/h
6,花都,11:48,-,5,0:16,C 4710,广东城际200km/h
1,花都,-,11:59,5,0:00,C 4711,
2,乐同,12:02,12:02,0,_,C 4711,广东城际200km/h
3,狮岭,12:04,12:04,0,_,C 4711,广东城际200km/h
4,银盏,12:07,12:07,0,_,C 4711,广东城际200km/h
5,龙塘镇,12:10,12:10,0,_,C 4711,广东城际200km/h
6,清城,12:14,-,5,0:15,C 4711,广东城际200km/h
1,清城,-,12:39,5,0:00,C 4712,
2,龙塘镇,12:42,12:42,0,_,C 4712,广东城际200km/h
3,银盏,12:45,12:45,0,_,C 4712,广东城际200km/h
4,狮岭,12:48,12:48,0,_,C 4712,广东城际200km/h
5,乐同,12:50,12:50,0,_,C 4712,广东城际200km/h
6,花都,12:55,-,5,0:16,C 4712,广东城际200km/h
1,花都,-,13:08,5,0:00,C 4713,
2,乐同,13:11,13:11,0,_,C 4713,广东城际200km/h
3,狮岭,13:13,13:13,0,_,C 4713,广东城际200km/h
4,银盏,13:16,13:16,0,_,C 4713,广东城际200km/h
5,龙塘镇,13:19,13:19,0,_,C 4713,广东城际200km/h
6,清城,13:23,-,5,0:15,C 4713,广东城际200km/h
1,清城,-,13:47,5,0:00,C 4714,
2,龙塘镇,13:50,13:50,0,_,C 4714,广东城际200km/h
3,银盏,13:53,13:53,0,_,C 4714,广东城际200km/h
4,狮岭,13:56,13:56,0,_,C 4714,广东城际200km/h
5,乐同,13:58,13:58,0,_,C 4714,广东城际200km/h
6,花都,14:03,-,5,0:16,C 4714,广东城际200km/h
1,花都,-,14:15,5,0:00,C 4715,
2,乐同,14:18,14:18,0,_,C 4715,广东城际200km/h
3,狮岭,14:20,14:20,0,_,C 4715,广东城际200km/h
4,银盏,14:23,14:23,0,_,C 4715,广东城际200km/h
5,龙塘镇,14:26,14:26,0,_,C 4715,广东城际200km/h
6,清城,14:30,-,5,0:15,C 4715,广东城际200km/h
1,清城,-,14:55,5,0:00,C 4716,
2,龙塘镇,14:58,14:58,0,_,C 4716,广东城际200km/h
3,银盏,15:01,15:01,0,_,C 4716,广东城际200km/h
4,狮岭,15:04,15:04,0,_,C 4716,广东城际200km/h
5,乐同,15:06,15:06,0,_,C 4716,广东城际200km/h
6,花都,15:11,-,5,0:16,C 4716,广东城际200km/h
1,花都,-,15:23,5,0:00,C 4717,
2,乐同,15:26,15:26,0,_,C 4717,广东城际200km/h
3,狮岭,15:28,15:28,0,_,C 4717,广东城际200km/h
4,银盏,15:31,15:31,0,_,C 4717,广东城际200km/h
5,龙塘镇,15:34,15:34,0,_,C 4717,广东城际200km/h
6,清城,15:38,-,5,0:15,C 4717,广东城际200km/h
1,清城,-,16:03,5,0:00,C 4718,
2,龙塘镇,16:06,16:06,0,_,C 4718,广东城际200km/h
3,银盏,16:09,16:09,0,_,C 4718,广东城际200km/h
4,狮岭,16:12,16:12,0,_,C 4718,广东城际200km/h
5,乐同,16:14,16:14,0,_,C 4718,广东城际200km/h
6,花都,16:19,-,5,0:16,C 4718,广东城际200km/h
1,花都,-,16:31,5,0:00,C 4719,
2,乐同,16:34,16:34,0,_,C 4719,广东城际200km/h
3,狮岭,16:36,16:36,0,_,C 4719,广东城际200km/h
4,银盏,16:39,16:39,0,_,C 4719,广东城际200km/h
5,龙塘镇,16:42,16:42,0,_,C 4719,广东城际200km/h
6,清城,16:46,-,5,0:15,C 4719,广东城际200km/h
1,清城,-,17:11,5,0:00,C 4720,
2,龙塘镇,17:14,17:14,0,_,C 4720,广东城际200km/h
3,银盏,17:17,17:17,0,_,C 4720,广东城际200km/h
4,狮岭,17:20,17:20,0,_,C 4720,广东城际200km/h
5,乐同,17:22,17:22,0,_,C 4720,广东城际200km/h
6,花都,17:27,-,5,0:16,C 4720,广东城际200km/h
1,花都,-,17:39,5,0:00,C 4721,
2,乐同,17:42,17:42,0,_,C 4721,广东城际200km/h
3,狮岭,17:44,17:44,0,_,C 4721,广东城际200km/h
4,银盏,17:47,17:47,0,_,C 4721,广东城际200km/h
5,龙塘镇,17:50,17:50,0,_,C 4721,广东城际200km/h
6,清城,17:54,-,5,0:15,C 4721,广东城际200km/h
1,清城,-,18:19,5,0:00,C 4722,
2,龙塘镇,18:22,18:22,0,_,C 4722,广东城际200km/h
3,银盏,18:25,18:25,0,_,C 4722,广东城际200km/h
4,狮岭,18:28,18:28,0,_,C 4722,广东城际200km/h
5,乐同,18:30,18:30,0,_,C 4722,广东城际200km/h
6,花都,18:35,-,5,0:16,C 4722,广东城际200km/h
1,花都,-,18:47,5,0:00,C 4723,
2,乐同,18:50,18:50,0,_,C 4723,广东城际200km/h
3,狮岭,18:52,18:52,0,_,C 4723,广东城际200km/h
4,银盏,18:55,18:55,0,_,C 4723,广东城际200km/h
5,龙塘镇,18:58,18:58,0,_,C 4723,广东城际200km/h
6,清城,19:02,-,5,0:15,C 4723,广东城际200km/h
1,清城,-,19:27,5,0:00,C 4724,
2,龙塘镇,19:30,19:30,0,_,C 4724,广东城际200km/h
3,银盏,19:33,19:33,0,_,C 4724,广东城际200km/h
4,狮岭,19:36,19:36,0,_,C 4724,广东城际200km/h
5,乐同,19:38,19:38,0,_,C 4724,广东城际200km/h
6,花都,19:43,-,5,0:16,C 4724,广东城际200km/h
1,花都,-,19:55,5,0:00,C 4725,
2,乐同,19:58,19:58,0,_,C 4725,广东城际200km/h
3,狮岭,20:00,20:00,0,_,C 4725,广东城际200km/h
4,银盏,20:03,20:03,0,_,C 4725,广东城际200km/h
5,龙塘镇,20:06,20:06,0,_,C 4725,广东城际200km/h
6,清城,20:10,-,5,0:15,C 4725,广东城际200km/h
1,清城,-,20:35,5,0:00,C 4726,
2,龙塘镇,20:38,20:38,0,_,C 4726,广东城际200km/h
3,银盏,20:41,20:41,0,_,C 4726,广东城际200km/h
4,狮岭,20:44,20:44,0,_,C 4726,广东城际200km/h
5,乐同,20:46,20:46,0,_,C 4726,广东城际200km/h
6,花都,20:51,-,5,0:16,C 4726,广东城际200km/h
1,花都,-,21:00,5,0:00,C 4727,
2,乐同,21:03,21:03,0,_,C 4727,广东城际200km/h
3,狮岭,21:05,21:05,0,_,C 4727,广东城际200km/h
4,银盏,21:08,21:08,0,_,C 4727,广东城际200km/h
5,龙塘镇,21:11,21:11,0,_,C 4727,广东城际200km/h
6,清城,21:15,-,5,0:15,C 4727,广东城际200km/h
1,花都,-,6:30,5,0:00,C 4753,广东城际200km/h
2,乐同,6:35,6:36,1,0:05,C 4753,广东城际200km/h
3,狮岭,6:41,6:42,1,0:11,C 4753,广东城际200km/h
4,银盏,6:49,6:50,1,0:19,C 4753,广东城际200km/h
5,龙塘镇,6:56,6:57,1,0:26,C 4753,广东城际200km/h
6,清城,7:02,-,5,0:32,C 4753,广东城际200km/h
1,白云机场北,-,6:30,5,0:00,C 4754,广东城际200km/h
2,花山镇,6:36,6:37,1,0:06,C 4754,广东城际200km/h
3,花城街,6:41,6:42,1,0:11,C 4754,广东城际200km/h
4,花都,6:50,6:59,9,0:20,C 4754,广东城际200km/h
5,乐同,7:05,7:06,1,0:35,C 4754,广东城际200km/h
6,狮岭,7:11,7:12,1,0:41,C 4754,广东城际200km/h
7,银盏,7:20,7:21,1,0:50,C 4754,广东城际200km/h
8,龙塘镇,7:26,7:27,1,0:56,C 4754,广东城际200km/h
9,清城,7:32,-,5,1:02,C 4754,广东城际200km/h
1,花都,-,6:15,5,0:00,C 4757,广东城际200km/h
2,花城街,6:23,6:24,1,0:08,C 4757,广东城际200km/h
3,花山镇,6:27,6:28,1,0:12,C 4757,广东城际200km/h
4,白云机场北,6:36,-,5,0:21,C 4757,广东城际200km/h
1,白云机场北,-,7:11,5,0:00,C 4758,广东城际200km/h
2,花山镇,7:17,7:18,1,0:06,C 4758,广东城际200km/h
3,花城街,7:22,7:23,1,0:11,C 4758,广东城际200km/h
4,花都,7:31,7:40,9,0:20,C 4758,广东城际200km/h
5,乐同,7:46,7:47,1,0:35,C 4758,广东城际200km/h
6,狮岭,7:52,7:53,1,0:41,C 4758,广东城际200km/h
7,银盏,8:01,8:02,1,0:50,C 4758,广东城际200km/h
8,龙塘镇,8:07,8:08,1,0:56,C 4758,广东城际200km/h
9,清城,8:13,-,5,1:02,C 4758,广东城际200km/h
1,清城,-,6:15,5,0:00,C 4760,
2,龙塘镇,6:18,6:18,0,_,C 4760,广东城际200km/h
3,银盏,6:21,6:21,0,_,C 4760,广东城际200km/h
4,狮岭,6:24,6:24,0,_,C 4760,广东城际200km/h
5,乐同,6:26,6:26,0,_,C 4760,广东城际200km/h
